name	author	enable	local	remote_repository	remote_commit	remote_path
bartblaze-ransomware-wickrme	Bart P	FALSE	bartblaze/ransomware/WickrMe.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/WickrMe.yar
bartblaze-ransomware-winlock	Bart P	FALSE	bartblaze/ransomware/WinLock.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/WinLock.yar
bartblaze-ransomware-xiaoba	Bart P	FALSE	bartblaze/ransomware/XiaoBa.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/XiaoBa.yar
bartblaze-ransomware-zeppelin	Bart P	FALSE	bartblaze/ransomware/Zeppelin.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/Zeppelin.yar
binaryalert-eicar	BinaryAlert	FALSE	binaryalert/eicar.yara	https://github.com/airbnb/binaryalert	refs/heads/master	rules/public/eicar.yara
binaryalert-hacktool-macos-exploit-cve-2015-5889	BinaryAlert	FALSE	binaryalert/hacktool/macos/hacktool_macos_exploit_cve_2015_5889.yara	https://github.com/airbnb/binaryalert	refs/heads/master	rules/public/hacktool/macos/hacktool_macos_exploit_cve_2015_5889.yara
binaryalert-hacktool-macos-exploit-tpwn	BinaryAlert	FALSE	binaryalert/hacktool/macos/hacktool_macos_exploit_tpwn.yara	https://github.com/airbnb/binaryalert	refs/heads/master	rules/public/hacktool/macos/hacktool_macos_exploit_tpwn.yara
binaryalert-hacktool-macos-juuso-keychaindump	BinaryAlert	FALSE	binaryalert/hacktool/macos/hacktool_macos_juuso_keychaindump.yara	https://github.com/airbnb/binaryalert	refs/heads/master	rules/public/hacktool/macos/hacktool_macos_juuso_keychaindump.yara
binaryalert-hacktool-macos-keylogger-dannvix	BinaryAlert	FALSE	binaryalert/hacktool/macos/hacktool_macos_keylogger_dannvix.yara	https://github.com/airbnb/binaryalert	refs/heads/master	rules/public/hacktool/macos/hacktool_macos_keylogger_dannvix.yara
binaryalert-hacktool-macos-keylogger-giacomolaw	BinaryAlert	FALSE	binaryalert/hacktool/macos/hacktool_macos_keylogger_giacomolaw.yara	https://github.com/airbnb/binaryalert	refs/heads/master	rules/public/hacktool/macos/hacktool_macos_keylogger_giacomolaw.yara
binaryalert-hacktool-macos-keylogger-logkext	BinaryAlert	FALSE	binaryalert/hacktool/macos/hacktool_macos_keylogger_logkext.yara	https://github.com/airbnb/binaryalert	refs/heads/master	rules/public/hacktool/macos/hacktool_macos_keylogger_logkext.yara
binaryalert-hacktool-macos-macpmem	BinaryAlert	FALSE	binaryalert/hacktool/macos/hacktool_macos_macpmem.yara	https://github.com/airbnb/binaryalert	refs/heads/master	rules/public/hacktool/macos/hacktool_macos_macpmem.yara
binaryalert-hacktool-macos-n0fate-chainbreaker	BinaryAlert	FALSE	binaryalert/hacktool/macos/hacktool_macos_n0fate_chainbreaker.yara	https://github.com/airbnb/binaryalert	refs/heads/master	rules/public/hacktool/macos/hacktool_macos_n0fate_chainbreaker.yara
binaryalert-hacktool-multi-bloodhound-owned	BinaryAlert	FALSE	binaryalert/hacktool/multi/hacktool_multi_bloodhound_owned.yara	https://github.com/airbnb/binaryalert	refs/heads/master	rules/public/hacktool/multi/hacktool_multi_bloodhound_owned.yara
binaryalert-hacktool-multi-jtesta-ssh-mitm	BinaryAlert	FALSE	binaryalert/hacktool/multi/hacktool_multi_jtesta_ssh_mitm.yara	https://github.com/airbnb/binaryalert	refs/heads/master	rules/public/hacktool/multi/hacktool_multi_jtesta_ssh_mitm.yara
binaryalert-hacktool-multi-masscan	BinaryAlert	FALSE	binaryalert/hacktool/multi/hacktool_multi_masscan.yara	https://github.com/airbnb/binaryalert	refs/heads/master	rules/public/hacktool/multi/hacktool_multi_masscan.yara
binaryalert-hacktool-multi-ntlmrelayx	BinaryAlert	FALSE	binaryalert/hacktool/multi/hacktool_multi_ntlmrelayx.yara	https://github.com/airbnb/binaryalert	refs/heads/master	rules/public/hacktool/multi/hacktool_multi_ntlmrelayx.yara
binaryalert-hacktool-multi-pyrasite-py	BinaryAlert	FALSE	binaryalert/hacktool/multi/hacktool_multi_pyrasite_py.yara	https://github.com/airbnb/binaryalert	refs/heads/master	rules/public/hacktool/multi/hacktool_multi_pyrasite_py.yara
binaryalert-hacktool-multi-responder-py	BinaryAlert	FALSE	binaryalert/hacktool/multi/hacktool_multi_responder_py.yara	https://github.com/airbnb/binaryalert	refs/heads/master	rules/public/hacktool/multi/hacktool_multi_responder_py.yara
